URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Shoe Discount,                     €5.00                 ,                     €9.99                 ,1,10232953-00,Zwart,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Shoe Discount,                     €6.50                 ,                     €12.99                 ,2,10232954-60,Rood,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Shoe Discount,                     €5.00                 ,                     €9.99                 ,3,10232952-40,Wit,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Shoe Discount,                     €6.50                 ,                     €12.99                 ,4,10232954-70,Groen,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Shoe Discount,                     €5.00                 ,                     €9.99                 ,5,10232953-50,Blauw,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper 2-Bizzy,                     €13.99                 ,                     €19.99                 ,6,10233203-60,Rood,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Trend One,                     €11.50                 ,                     €22.99                 ,7,10232709-60,Rood,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper Trend One,                     €11.50                 ,                     €22.99                 ,8,10232709-00,Zwart,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper 2-Bizzy,                     €13.99                 ,                     €19.99                 ,9,10233203-70,Groen,NA,NA,NA,NA,1
https://www.bristolshop.be/be_nl/dames/schoenen/slippers.html,7-4-2018,List Page,Slippers,Slipper 2-Bizzy,                     €13.99                 ,                     €19.99                 ,10,10233203-92,Zilver,NA,NA,NA,NA,1
